ntdid,4 Digit NTDID,name,reporter,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,veh_avai,Vehicles in Operation,vmt,vmt_rev,Deadhead Miles,Scheduled Revenue Miles,Total actual hours,Total actual revenue hours,Deadhead hours,Charter service hours,School bus hours,Trains in operation,Total actual miles,Total actual revenue miles,Deadhead Miles,Total actual hours,Total actual revenue hours,Deadhead hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service,pmt,Days of service operated,Days not operated due to strikes,Strike Comment,Days not operated due to officially declared emergencies,Emergency Comment,BRT Non-Statutory Mixed Traffic,Mixed Traffic Right of Way (ROW)
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,TB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,TB,DO,Average Typical Weekday,12:00:00 AM,11:59:00 PM,,,129,11375,10860,515,11124,1654,1592,62,,,,,,,,,,74838,,,135499,255,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,TB,DO,Average Typical Saturday,12:00:00 AM,11:59:00 PM,,,74,405,394,11,8790,53,52,1,,,,,,,,,,2517,,,4988,52,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,TB,DO,Average Typical Sunday,12:00:00 AM,11:59:00 PM,,,53,850,828,22,6819,108,106,2,,,,,,,,,,5205,,,10265,58,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,TB,DO,Annual Total,,,129,154,,2970882,2837820,133062,3689161,430838,414662,16176,,,,,,,,,,19464383,,,35310720,,,,,,0,0
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,VP,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,VP,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,VP,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,VP,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,VP,DO,Average Typical Weekday,12:00:00 AM,12:00:00 AM,,,1390,56233,56233,0,,1939,1939,0,,,,,,,,,,13244,,,256415,255,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,VP,DO,Average Typical Saturday,12:00:00 AM,12:00:00 AM,,,36,1530,1530,0,,53,53,0,,,,,,,,,,360,,,6976,52,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,VP,DO,Average Typical Sunday,12:00:00 AM,12:00:00 AM,,,32,1373,1373,0,,47,47,0,,,,,,,,,,323,,,6261,58,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Full Reporter: Operating,VP,DO,Annual Total,,,1390,1688,,14498635,14498635,0,,499955,499955,0,,,,,,,,,,3414783,,,66111724,,,,,,0,0
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,DO,Average Typical Weekday,6:20:00 AM,5:20:00 PM,,,57,5076,4653,423,,343,318,25,,,,,,,,,,972,,,7598,255,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,DO,Average Typical Saturday,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,DO,Average Typical Sunday,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,DO,Annual Total,,,57,62,,1294351,1186434,107917,,87364,81138,6226,,,,,,,,,,247941,247941,,1937369,,,,,,0,0
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,PT,Average Typical Weekday,5:05:00 AM,11:55:00 PM,,,44,4222,3651,571,,255,226,29,,,,,,,,,,669,,,6324,255,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,PT,Average Typical Saturday,5:30:00 AM,10:25:00 PM,,,31,3500,3138,362,,222,204,18,,,,,,,,,,506,,,3821,52,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,PT,Average Typical Sunday,7:20:00 AM,8:35:00 PM,,,34,3550,3127,423,,211,191,20,,,,,,,,,,546,,,4351,58,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,DR,PT,Annual Total,,,45,49,,1467021,1275569,191452,,88965,79365,9600,,,,,,,,,,227230,227230,,2063731,,,,,,0,0
2,2,Spokane Transit Authority,Full Reporter: Operating,MB,DO,Average Weekday - AM Peak,4:30:00 AM,8:59:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,MB,DO,Average Weekday - Midday,9:00:00 AM,2:59:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,MB,DO,Average Weekday - PM Peak,3:00:00 PM,12:40:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,MB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,MB,DO,Average Typical Weekday,4:30:00 AM,12:40:00 AM,,,108,20069,18504,1565,18487,1396,1321,75,,,,,,,,,,38912,,,182835,254,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,MB,DO,Average Typical Saturday,4:50:00 AM,12:40:00 AM,,,46,8831,8159,672,8111,656,628,28,,,,,,,,,,16212,,,65185,52,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,MB,DO,Average Typical Sunday,6:50:00 AM,8:30:00 PM,,,33,6007,5468,539,5327,426,404,22,,,,,,,,,,9010,,,37397,59,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,MB,DO,Annual Total,,,112,143,,5911102,5446828,464274,5431652,413755,392087,21668,,,,,,,,,,11324434,,,52036133,,,,,,0,653
2,2,Spokane Transit Authority,Full Reporter: Operating,VP,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,VP,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,VP,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,VP,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,VP,DO,Average Typical Weekday,6:00:00 AM,7:00:00 AM,,,86,4439,4439,0,,138,138,0,,,,,,,,,,943,,,22768,254,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,VP,DO,Average Typical Saturday,7:00:00 AM,6:00:00 PM,,,7,381,381,0,,11,11,0,,,,,,,,,,49,,,1040,52,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,VP,DO,Average Typical Sunday,8:00:00 AM,5:00:00 PM,,,8,468,468,0,,14,14,0,,,,,,,,,,71,,,1503,59,,,,,,
2,2,Spokane Transit Authority,Full Reporter: Operating,VP,DO,Annual Total,,,99,118,,1174536,1174536,0,,36651,36651,0,,,,,,,,,,246331,,,5925687,,,,,,0,0
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
