ntdid,name,ssw,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,vmt,vmt_rev,Deadhead Miles,Scheduled Vehicle Revenue Miles,Actual Vehicle Hours,Vehicle Revenue Hours,Deadhead Hours,Charter Service Hours,School Bus Hours,Train Cars in Operation,Actual Miles,Revenue Miles,Deadhead Miles,Actual Hours,Revenue Hours,Deadhead Hours,Unlinked Passenger Trips,ADA Trips,Sponsored Service Trips,pmt,Days of Service Operated,Days not operated due to strikes,Strike description,Days not operated due to officially declared emergencies,Emergency description
1,King County Department of Transportation - Metro Transit Division,N,TB,DO,Average Weekday - AM Peak,600,900,112,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,TB,DO,Average Weekday - Midday,900,1500,98,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,TB,DO,Average Weekday - Other,,,109,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,TB,DO,Average Weekday - PM Peak,1500,1800,131,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,VP,DO,Annual Total,,,,14032115,14032115,0,,388170,388170,0,,,,,,,,,,3523813,,,73144773,365,,,,
1,King County Department of Transportation - Metro Transit Division,N,VP,DO,Average Typical Saturday,,,43,1571,1571,0,,43,43,0,,,,,,,,,,395,,,8191,52,,,,
1,King County Department of Transportation - Metro Transit Division,N,VP,DO,Average Typical Sunday,,,27,1129,1129,0,,31,31,0,,,,,,,,,,283,,,5884,58,,,,
1,King County Department of Transportation - Metro Transit Division,N,VP,DO,Average Typical Weekday,,,1342,54451,54451,0,,1506,1506,0,,,,,,,,,,13674,,,283833,255,,,,
1,King County Department of Transportation - Metro Transit Division,N,VP,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,VP,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,VP,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,King County Department of Transportation - Metro Transit Division,N,VP,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,DR,DO,Annual Total,,,,1321903,1215021,106882,,88750,82630,6120,,,,,,,,,,251273,251273,,1902137,255,,,,
2,Spokane Transit Authority,N,DR,DO,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,DR,DO,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,DR,DO,Average Typical Weekday,620,1720,57,5172,4756,416,,348,324,24,,,,,,,,,,985,,,7428,255,,,,
2,Spokane Transit Authority,N,DR,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,DR,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,DR,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,DR,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,DR,PT,Annual Total,,,,1493717,1302971,190746,,90147,80592,9555,,,,,,,,,,231765,231765,,1657603,365,,,,
2,Spokane Transit Authority,N,DR,PT,Average Typical Saturday,530,2225,34,3423,3077,346,,210,193,17,,,,,,,,,,494,,,3373,52,,,,
2,Spokane Transit Authority,N,DR,PT,Average Typical Sunday,720,2035,37,3593,3143,450,,208,188,20,,,,,,,,,,512,,,4686,58,,,,
2,Spokane Transit Authority,N,DR,PT,Average Typical Weekday,505,2355,47,4343,3737,606,,263,234,29,,,,,,,,,,692,,,4747,255,,,,
2,Spokane Transit Authority,N,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,MB,DO,Annual Total,,,,5805943,5317034,488909,5340816,405312,383357,21955,,,,,,,,,,11087049,,,47944913,365,,,,
2,Spokane Transit Authority,N,MB,DO,Average Typical Saturday,450,2400,45,8697,7995,702,8009,643,614,29,,,,,,,,,,15865,,,58701,52,,,,
2,Spokane Transit Authority,N,MB,DO,Average Typical Sunday,650,2030,33,5841,5279,562,5295,413,390,23,,,,,,,,,,8892,,,32189,59,,,,
2,Spokane Transit Authority,N,MB,DO,Average Typical Weekday,430,2400,108,19721,18070,1651,18157,1368,1293,75,,,,,,,,,,38037,,,169265,254,,,,
2,Spokane Transit Authority,N,MB,DO,Average Weekday - AM Peak,600,900,108,,,,,,,,,,,,,,,,,,,,,,,,,
2,Spokane Transit Authority,N,MB,DO,Average Weekday - Midday,900,1500,83,,,,,,,,,,,,,,,,,,,,,,,,,
