ntdid,Legacy NTD ID,name,reporter,Form Module Type,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,veh_avai,Vehicles/ Passenger Cars in Operation,vmt,vmt_rev,Actual Vehicles/ Passenger Deadhead Miles,Scheduled Actual Vehicles/ Passenger Car Revenue Miles,Actual Vehicles/ Passenger Car Hours,Actual Vehicles/ Passenger Car Revenue Hours,Actual Vehicles/ Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Trains in Operation,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,pmt,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,Non-Statutory Mixed Traffic, DRM Mixed Traffic ROW 
40232,4232,Central Florida Commuter Rail,Full Reporter,Full Reporter,CR,PT,Average Weekday - Midday,10:00:00,14:54:00,,,4,,,,,,,,,,2,,,,,,,0,,,,,,,,,,
40232,4232,Central Florida Commuter Rail,Full Reporter,Full Reporter,CR,PT,Average Weekday - PM Peak,14:54:00,19:59:00,,,11,,,,,,,,,,5,,,,,,,0,,,,,,,,,,
40232,4232,Central Florida Commuter Rail,Full Reporter,Full Reporter,CR,PT,Average Weekday - Other,,,,,6,,,,,,,,,,3,,,,,,,0,,,,,,,,,,
40232,4232,Central Florida Commuter Rail,Full Reporter,Full Reporter,CR,PT,Average Typical Weekday,5:00:00,1:39:00,,,20,2545,2514,31,2519,91,81,10,,,10,1111,1092,19,40,35,5,3647,,,55566,253,0,,0,,,
40232,4232,Central Florida Commuter Rail,Full Reporter,Full Reporter,CR,PT,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40232,4232,Central Florida Commuter Rail,Full Reporter,Full Reporter,CR,PT,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40232,4232,Central Florida Commuter Rail,Full Reporter,Full Reporter,CR,PT,Annual Total,,,30,30,,643821,636033,7788,637185,23144,20648,2496,,,,284317,279449,4868,10013,8796,1217,959037,,,14058081,,,,,,,
40233,4233,City of Salisbury - Salisbury,Reduced Reporter,Reduced Reporter,MB,DO,Annual Total,,,3,,,,115613,,,,10049,,,,,,,,,,,161048,,,,,,,,,,
40234,4234,Autonomous Municipality of Ponce,Reduced Reporter,Reduced Reporter,DR,DO,Annual Total,,,1,,,,7648,,,,1673,,,,,,,,,,,370,,0,,,,,,,,
40234,4234,Autonomous Municipality of Ponce,Reduced Reporter,Reduced Reporter,MB,DO,Annual Total,,,6,,,,108595,,,,14472,,,,,,,,,,,689982,,,,,,,,,,
40235,4235,"Aiken Area Council on Aging, Inc.",Reduced Reporter,Reduced Reporter,DR,DO,Annual Total,,,11,,,,461618,,,,23805,,,,,,,,,,,28743,,24111,,,,,,,,
40235,4235,"Aiken Area Council on Aging, Inc.",Reduced Reporter,Reduced Reporter,MB,DO,Annual Total,,,5,,,,187638,,,,13827,,,,,,,,,,,41503,,,,,,,,,,
40237,4237,Lancaster County Council on Aging,Reduced Reporter,Reduced Reporter,DR,DO,Annual Total,,,16,,,,376111,,,,24336,,,,,,,,,,,25310,,0,,,,,,,,
40238,,City of Coconut Creek,Reduced Reporter,Reduced Reporter,MB,DO,Annual Total,,,4,,,,175594,,,,12669,,,,,,,,,,,141302,,,,,,,,,,
40239,,City of Deerfield Beach/ North East Focal Point Senior Center,Reduced Reporter,Reduced Reporter,DR,DO,Annual Total,,,5,,,,16609,,,,1303,,,,,,,,,,,4350,,4350,,,,,,,,
40239,,City of Deerfield Beach/ North East Focal Point Senior Center,Reduced Reporter,Reduced Reporter,MB,DO,Annual Total,,,2,,,,52486,,,,3999,,,,,,,,,,,70739,,,,,,,,,,
40240,,City of Lighthouse Point,Reduced Reporter,Reduced Reporter,MB,DO,Annual Total,,,1,,,,20639,,,,1436,,,,,,,,,,,12197,,,,,,,,,,
40241,,City of Miramar - Public Works Department,Reduced Reporter,Reduced Reporter,DR,DO,Annual Total,,,4,,,,1366,,,,107,,,,,,,,,,,442,,442,,,,,,,,
40241,,City of Miramar - Public Works Department,Reduced Reporter,Reduced Reporter,MB,DO,Annual Total,,,4,,,,193370,,,,12012,,,,,,,,,,,170095,,,,,,,,,,
40244,,"Spartanburg Regional Health Services, Inc.",Full Reporter,Full Reporter,DR,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40244,,"Spartanburg Regional Health Services, Inc.",Full Reporter,Full Reporter,DR,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40244,,"Spartanburg Regional Health Services, Inc.",Full Reporter,Full Reporter,DR,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40244,,"Spartanburg Regional Health Services, Inc.",Full Reporter,Full Reporter,DR,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40244,,"Spartanburg Regional Health Services, Inc.",Full Reporter,Full Reporter,DR,DO,Average Typical Weekday,4:00:00,21:00:00,,,,7549,6437,1112,,382,332,50,,,,,,,,,,526,,,8468,261,,,,,,
40244,,"Spartanburg Regional Health Services, Inc.",Full Reporter,Full Reporter,DR,DO,Average Typical Saturday,4:00:00,19:00:00,,,,1202,976,226,,85,71,14,,,,,,,,,,82,,,752,52,,,,,,
40244,,"Spartanburg Regional Health Services, Inc.",Full Reporter,Full Reporter,DR,DO,Average Typical Sunday,12:00:00,23:00:00,,,,151,119,32,,14,11,3,,,,,,,,,,5,,,73,43,,,,,,
40244,,"Spartanburg Regional Health Services, Inc.",Full Reporter,Full Reporter,DR,DO,Annual Total,,,42,47,,2039395,1585617,453778,,104777,90793,13984,,,,,,,,,,141727,3891,115299,2252674,,,,,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,DR,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,DR,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,DR,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,DR,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,DR,DO,Average Typical Weekday,5:30:00,18:00:00,,,,3381,2915,466,,183,140,43,,,,,,,,,,305,,,,253,0,,0,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,DR,DO,Average Typical Saturday,5:30:00,17:00:00,,,,220,130,90,,40,23,17,,,,,,,,,,82,,,,52,0,,0,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,DR,DO,Average Typical Sunday,,,,,,0,,0,,0,0,0,,,,,,,,,,0,,,0,0,0,,0,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,DR,DO,Annual Total,,,30,30,,866997,744329,122668,,48497,37429,11068,,,,,,,,,,81096,,,1222848,,,,,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,MB,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,MB,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,MB,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,MB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,MB,DO,Average Typical Weekday,5:30:00,19:30:00,,,,1039,1039,0,1039,57,57,0,,,,,,,,,,212,,,3380,253,0,,0,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,MB,DO,Average Typical Saturday,5:30:00,17:00:00,,,,120,120,0,120,8,8,0,,,,,,,,,,16,,,193,52,0,,0,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,MB,DO,Average Typical Sunday,,,,,,0,,0,0,0,0,0,,,,,,,,,,0,,,0,0,0,,0,,,
40245,,"Clay County Council on Aging, Inc., dba Clay Transit",Full Reporter,Full Reporter,MB,DO,Annual Total,,,7,7,,269058,269058,0,269058,14809,14809,0,0,0,,,,,,,,54362,,,865271,,,,,,,112
41068,4R02-028,Flagler Co. Public Transportation,Full Reporter,Full Reporter,DR,DO,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
41068,4R02-028,Flagler Co. Public Transportation,Full Reporter,Full Reporter,DR,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
41068,4R02-028,Flagler Co. Public Transportation,Full Reporter,Full Reporter,DR,DO,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
41068,4R02-028,Flagler Co. Public Transportation,Full Reporter,Full Reporter,DR,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
41068,4R02-028,Flagler Co. Public Transportation,Full Reporter,Full Reporter,DR,DO,Average Typical Weekday,6:00:00,18:00:00,,,,2830,2415,415,,159,146,13,,,,,,,,,,413,,,2463,248,,,,,,
41068,4R02-028,Flagler Co. Public Transportation,Full Reporter,Full Reporter,DR,DO,Average Typical Saturday,7:00:00,19:00:00,,,,667,611,56,,42,36,6,,,,,,,,,,80,,,611,52,,,,,,
41068,4R02-028,Flagler Co. Public Transportation,Full Reporter,Full Reporter,DR,DO,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
41068,4R02-028,Flagler Co. Public Transportation,Full Reporter,Full Reporter,DR,DO,Annual Total,,,26,38,,736524,630624,105900,,42599,38886,3713,0,0,,,,,,,,106669,14634,,642596,,,,,,,
44907,4T01,Catawba Indian Nation,Reduced Reporter,Tribe,DR,DO,Annual Total,,,7,,,,279481,,,,15448,,,,,,,,,,,15054,,0,,,,,,,,
44913,4T02,Eastern Band of Cherokee Indians,Reduced Reporter,Tribe,MB,DO,Annual Total,,,13,,,,493486,,,,66171,,,,,,,,,,,73887,,,,,,,,,,
44919,4T03,Poarch Band of Creek Indians,Reduced Reporter,Tribe,DR,DO,Annual Total,,,3,,,,16631,,,,2184,,,,,,,,,,,9934,,0,,,,,,,,
44925,4T04,Mississippi Band of Choctaw Indians,Reduced Reporter,Tribe,DR,DO,Annual Total,,,29,,,,960168,,,,30993,,,,,,,,,,,62785,,0,,,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,FB,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,FB,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
44929,,City of Fort Lauderdale,Full Reporter,Full Reporter,FB,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
