company,route,state1,state2,state3,urban_area1,urban_area2,urban_area3,bus_arr,pass_arr,bus_dep,pass_dep,capacity,location,level
NJ Transit,157 - Teaneck-Ridgefield Park-New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,5,210,8,207,44.1,PABT,LL-NW
NJ Transit,158 - Fort Lee-Edgewater-New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,67,2975,79,3794,45.45,PABT,3-SW
NJ Transit,159 - Fort Lee-New York-Turnpike Express,New Jersey,,,"New York--Newark, NY--NJ--CT",,,102,3746,103,4410,45.45,PABT,3-SW
NJ Transit,160 - Elmwood Park - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,37,1306,35,1092,51.3,PABT,LL-SW
NJ Transit,161 - Paterson - Passaic - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,76,2209,62,2215,51.3,PABT,3-NW
NJ Transit,162 - Maywood - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,20,860,13,675,44.1,PABT,4-SW
NJ Transit,163 - Ridgewood - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,98,3267,87,3299,44.1,PABT,4-SW
NJ Transit,164 - Midland Park - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,33,860,40,1570,44.1,PABT,LL-SW
NJ Transit,165 - Westwood - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,132,4620,121,4480,44.1,PABT,3-NW
NJ Transit,166 - Dumont - Tenafly - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,138,5236,136,5729,48.6,PABT,3-SW
NJ Transit,167 - Harrington Park - Dumont - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,82,3030,80,3465,48.6,PABT,3-SW
NJ Transit,168 - Paramus - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,40,1388,33,1069,44.1,PABT,LL-NW
NJ Transit,171 - Paterson - New York - GWBBS,New Jersey,,,"New York--Newark, NY--NJ--CT",,,23,366,23,373,37.8,GWBBS,
NJ Transit,175 - Ridgewood - New York - GWBBS,New Jersey,,,"New York--Newark, NY--NJ--CT",,,27,355,26,453,37.8,GWBBS,
NJ Transit,177 - Harrington Park - New Milford - New York Express,New Jersey,,,"New York--Newark, NY--NJ--CT",,,40,1890,32,1663,48.6,PABT,3-SW
NJ Transit,178 - Hackensack - New York - GWBBS,New Jersey,,,"New York--Newark, NY--NJ--CT",,,26,471,25,440,37.8,GWBBS,
NJ Transit,181 - Hoboken - New York - GWBBS,New Jersey,,,"New York--Newark, NY--NJ--CT",,,11,179,11,205,37.8,GWBBS,
NJ Transit,182 - Hackensack - New York - GWBBS,New Jersey,,,"New York--Newark, NY--NJ--CT",,,28,511,26,505,37.8,GWBBS,
NJ Transit,186 - Dumont - New York - GWBBS,New Jersey,,,"New York--Newark, NY--NJ--CT",,,36,831,41,1054,37.8,GWBBS,
NJ Transit,188 - River Road - New York - GWBBS,New Jersey,,,"New York--Newark, NY--NJ--CT",,,18,188,18,176,37.8,GWBBS,
NJ Transit,190 - Paterson - New York,New Jersey,,,"New York--Newark, NY--NJ--CT",,,120,3977,113,4199,51.3,PABT,3-SW
