id,UACE,areaname,state,statename,pop
158,83764,"Spokane, WA",WA,Washington,387847
159,83926,"Springfield, MA--CT",MA,Massachusetts,531589
160,83953,"Springfield, MO",MO,Missouri,273724
161,85087,"Stockton, CA",CA,California,370583
162,86302,"Syracuse, NY",NY,New York,412317
163,86464,"Tallahassee, FL",FL,Florida,240223
164,86599,"Tampa--St. Petersburg, FL",FL,Florida,2441770
165,87490,"Thousand Oaks, CA",CA,California,214811
166,87868,"Toledo, OH--MI",OH,Ohio,479182
167,88462,"Trenton, NJ",NJ,New Jersey,296668
168,88732,"Tucson, AZ",AZ,Arizona,843168
169,88948,"Tulsa, OK",OK,Oklahoma,655479
170,89770,"Urban Honolulu, HI",HI,Hawaii,802459
171,90541,"Victorville--Hesperia, CA",CA,California,328454
172,90892,"Virginia Beach, VA",VA,Virginia,1439666
173,90946,"Visalia, CA",CA,California,219454
174,92242,"Washington, DC--VA--MD",DC,District of Columbia,601723
175,92242,"Washington, DC--VA--MD",MD,Maryland,1749163
176,92242,"Washington, DC--VA--MD",VA,Virginia,2235884
177,95077,"Wichita, KS",KS,Kansas,472870
178,95833,"Wilmington, NC",NC,North Carolina,219957
179,96670,"Winston-Salem, NC",NC,North Carolina,391024
180,96697,"Winter Haven, FL",FL,Florida,201289
181,97291,"Worcester, MA--CT",MA,Massachusetts,453586
182,97750,"York, PA",PA,Pennsylvania,232045
183,97831,"Youngstown, OH--PA",OH,Ohio,348073
