id,UACE,areaname,state,statename,pop,UANAME,CBSA,metro_name,district_count,avg_enroll
11,3817,"Atlanta, GA",GA,Georgia,4515419,"Atlanta, GA Urbanized Area",12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",37,25880
11,3817,"Atlanta, GA",GA,Georgia,4515419,"Atlanta, GA Urbanized Area",23580,"Gainesville, GA Metro Area",2,17303
11,3817,"Atlanta, GA",GA,Georgia,4515419,"Atlanta, GA Urbanized Area",99999,Not in a metro/micro area,,
12,3898,"Atlantic City, NJ",NJ,New Jersey,248402,"Atlantic City, NJ Urbanized Area",12100,"Atlantic City-Hammonton, NJ Metro Area",25,1888
12,3898,"Atlantic City, NJ",NJ,New Jersey,248402,"Atlantic City, NJ Urbanized Area",36140,"Ocean City, NJ Metro Area",19,797
13,4222,"Augusta-Richmond County, GA--SC",GA,Georgia,283283,"Augusta-Richmond County, GA--SC Urbanized Area",12260,"Augusta-Richmond County, GA-SC Metro Area",7,13569
14,4384,"Austin, TX",TX,Texas,1362416,"Austin, TX Urbanized Area",12420,"Austin-Round Rock-San Marcos, TX Metro Area",29,10671
15,4681,"Bakersfield, CA",CA,California,523994,"Bakersfield, CA Urbanized Area",12540,"Bakersfield-Delano, CA Metro Area",47,3718
16,4843,"Baltimore, MD",MD,Maryland,2203663,"Baltimore, MD Urbanized Area",12580,"Baltimore-Towson, MD Metro Area",7,56586
16,4843,"Baltimore, MD",MD,Maryland,2203663,"Baltimore, MD Urbanized Area",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",24,38510
17,5167,"Barnstable Town, MA",MA,Massachusetts,246695,"Barnstable Town, MA Urbanized Area",12700,"Barnstable Town, MA Metro Area",11,1495
17,5167,"Barnstable Town, MA",MA,Massachusetts,246695,"Barnstable Town, MA Urbanized Area",14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",125,4134
18,5680,"Baton Rouge, LA",LA,Louisiana,594309,"Baton Rouge, LA Urbanized Area",12940,"Baton Rouge, LA Metro Area",12,9541
19,7786,"Birmingham, AL",AL,Alabama,749495,"Birmingham, AL Urbanized Area",13820,"Birmingham-Hoover, AL Metro Area",23,8539
